id,title,genres,Action,Adventure,Casual,Early Access,Free to Play,Gore,Indie,Massively Multiplayer,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Violent
1.0,Dota 2,Action;Free to Play;Strategy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8.0,Warframe,Action;Free to Play,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,War Thunder,Action;Free to Play;Massively Multiplayer;Simulation,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
11.0,Grand Theft Auto V,Action;Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,Rust,Action;Adventure;Indie;Massively Multiplayer;RPG,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
18.0,Euro Truck Simulator 2,Indie;Simulation,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
31.0,Project Zomboid,Indie;RPG;Simulation;Early Access,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
32.0,Team Fortress 2,Action;Free to Play,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47.0,The Forest,Action;Adventure;Indie;Simulation,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
72.0,Terraria,Action;Adventure;Indie;RPG,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
79.0,BeamNG.drive,Racing;Simulation;Early Access,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
85.0,DayZ,Action;Adventure;Massively Multiplayer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90.0,Assetto Corsa,Indie;Racing;Simulation;Sports,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
102.0,Garry's Mod,Indie;Simulation,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
104.0,Left 4 Dead 2,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.0,Fallout 4,RPG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111.0,PAYDAY 2,Action;RPG,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128.0,Squad,Action;Indie;Strategy;Early Access,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
142.0,Arma 3,Action;Simulation;Strategy,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
147.0,7 Days to Die,Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1
154.0,Europa Universalis IV,Simulation;Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
161.0,Brawlhalla,Action;Free to Play;Indie,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
176.0,EVE Online,Action;Free to Play;Massively Multiplayer;RPG;Strategy,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
186.0,Subnautica,Adventure;Indie,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
193.0,Tabletop Simulator,Casual;Indie;RPG;Simulation;Strategy,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
